time,beta_n
0.1,0.07997614
0.12,0.084624894
0.22,0.082997516
0.24,0.06498247
0.34,0.325574
0.36,0.38670895
0.38,0.42743006
0.46,0.47385216
0.48,0.4732131
0.5,0.4740079
0.52,0.48518413
0.54,0.48629162
0.58,0.4871879
0.6,0.4597803
0.62,0.45422894
0.64,0.44030285
0.66,0.44210035
0.7,0.4445194
0.72,0.4975724
0.74,0.5664454
0.76,0.65130174
0.78,0.7087829
0.82,0.93561673
0.84,1.083672
0.86,1.1948222
0.88,1.32711
0.94,1.5282744
0.96,1.6113108
0.98,1.6365058
1.06,1.6225381
1.08,1.6882008
1.1,1.6267868
1.18,1.4728377
1.2,1.475858
1.22,1.406345
1.24,1.4023947
1.26,1.2787948
1.3,1.3221319
1.32,1.1897807
1.34,1.0989636
1.36,1.1167294
1.38,1.0686586
1.4,1.1035453
1.42,1.0976598
1.44,1.1457971
1.46,1.1049495
1.48,1.1304978
1.5,1.1286068
1.52,1.1567533
1.54,1.1557814
1.56,1.1812369
1.58,1.1431462
1.6,1.1919875
1.62,1.1273645
1.64,1.2050382
1.66,1.1357341
1.68,1.2195253
1.7,1.1577363
1.72,1.2834349
1.74,1.2515717
1.76,1.3864579
1.8,1.1752819
1.82,0.9663741
1.84,0.89477587
1.86,0.6001764
1.9,0.69325817
1.92,0.67576706
1.94,0.50288415
1.96,0.6005979
1.98,0.60895884
2.0,0.67481744
2.02,0.55344266
2.04,0.6486624
2.1,0.71416074
2.12,0.5894918
2.14,0.6563722
2.16,0.4467646
2.18,0.33371648
2.2,0.33809614
2.22,0.3472865
2.24,0.31559938
2.26,0.24082774
