trace_id,file_name,label,points,type
20ja074_fig01a_data_step_1,20ja074_fig01a_data.h5,20ja074_fig01a_data_step_1,158,signal
20ja074_fig01a_data_step_2,20ja074_fig01a_data.h5,20ja074_fig01a_data_step_2,158,signal
20ja074_fig01a_data_step_3,20ja074_fig01a_data.h5,20ja074_fig01a_data_step_3,400000,signal
20ja074_fig01a_data_step_4,20ja074_fig01a_data.h5,20ja074_fig01a_data_step_4,40203,signal
20ja074_fig01b_data_step_1,20ja074_fig01b_data.h5,20ja074_fig01b_data_step_1,158,signal
20ja074_fig01b_data_step_2,20ja074_fig01b_data.h5,20ja074_fig01b_data_step_2,158,signal
20ja074_fig01b_data_step_3,20ja074_fig01b_data.h5,20ja074_fig01b_data_step_3,400000,signal
20ja074_fig01b_data_step_4,20ja074_fig01b_data.h5,20ja074_fig01b_data_step_4,40203,signal
20ja074_fig02a_data_step_1,20ja074_fig02a_data.h5,20ja074_fig02a_data_step_1,103,signal
20ja074_fig02b_data_step_1,20ja074_fig02b_data.h5,20ja074_fig02b_data_step_1,95,signal
20ja074_fig03_data_step_1,20ja074_fig03_data.h5,20ja074_fig03_data_step_1,95,signal
20ja074_fig04a_data_step_1,20ja074_fig04a_data.h5,20ja074_fig04a_data_step_1,139,signal
20ja074_fig04b_data_step_1,20ja074_fig04b_data.h5,20ja074_fig04b_data_step_1,97,signal
20ja074_fig05_data_step_1,20ja074_fig05_data.h5,20ja074_fig05_data_step_1,123,signal
20ja074_fig06a_data_step_1,20ja074_fig06a_data.h5,20ja074_fig06a_data_step_1,10,signal
20ja074_fig06a_data_step_2,20ja074_fig06a_data.h5,20ja074_fig06a_data_step_2,28,signal
20ja074_fig06a_data_step_3,20ja074_fig06a_data.h5,20ja074_fig06a_data_step_3,28,signal
20ja074_fig06a_data_step_4,20ja074_fig06a_data.h5,20ja074_fig06a_data_step_4,10,signal
20ja074_fig06a_data_step_5,20ja074_fig06a_data.h5,20ja074_fig06a_data_step_5,28,signal
20ja074_fig06a_data_step_6,20ja074_fig06a_data.h5,20ja074_fig06a_data_step_6,28,signal
20ja074_fig06b_data_step_1,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_1,22,signal
20ja074_fig06b_data_step_10,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_10,22,signal
20ja074_fig06b_data_step_2,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_2,22,signal
20ja074_fig06b_data_step_3,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_3,22,signal
20ja074_fig06b_data_step_4,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_4,22,signal
20ja074_fig06b_data_step_5,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_5,22,signal
20ja074_fig06b_data_step_6,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_6,22,signal
20ja074_fig06b_data_step_7,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_7,22,signal
20ja074_fig06b_data_step_8,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_8,22,signal
20ja074_fig06b_data_step_9,20ja074_fig06b_data.h5,20ja074_fig06b_data_step_9,22,signal
20ja074_fig07_data_step_1,20ja074_fig07_data.h5,20ja074_fig07_data_step_1,95,signal
20ja074_fig07_data_step_2,20ja074_fig07_data.h5,20ja074_fig07_data_step_2,95,signal
20ja074_fig07_data_step_3,20ja074_fig07_data.h5,20ja074_fig07_data_step_3,95,signal
20ja074_fig08a_data_step_1,20ja074_fig08a_data.h5,20ja074_fig08a_data_step_1,10,signal
20ja074_fig08a_data_step_2,20ja074_fig08a_data.h5,20ja074_fig08a_data_step_2,10,signal
20ja074_fig08a_data_step_3,20ja074_fig08a_data.h5,20ja074_fig08a_data_step_3,10,signal
20ja074_fig08a_data_step_4,20ja074_fig08a_data.h5,20ja074_fig08a_data_step_4,10,signal
20ja074_fig08b_data_step_1,20ja074_fig08b_data.h5,20ja074_fig08b_data_step_1,10,signal
20ja074_fig08b_data_step_2,20ja074_fig08b_data.h5,20ja074_fig08b_data_step_2,10,signal
20ja074_fig08b_data_step_3,20ja074_fig08b_data.h5,20ja074_fig08b_data_step_3,10,signal
20ja074_fig08b_data_step_4,20ja074_fig08b_data.h5,20ja074_fig08b_data_step_4,10,signal
20ja074_fig09_data_step_1,20ja074_fig09_data.h5,20ja074_fig09_data_step_1,99,bar
20ja074_fig09_data_step_3,20ja074_fig09_data.h5,20ja074_fig09_data_step_3,99,bar
