t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.0,0.0013000000000000002,1.051,0.0012369172216936254,0.1,2.102,2.1019999999999997e-18,0.0,0.0,1e+20
1e-06,0.0013143129999999997,1.051285,0.0012501966640825273,0.1,2.100469530469531,2.090019433303016e-18,1e+36,1e+28,9.99000499833375e+19
2e-06,0.0013286519999999998,1.0515700000000001,0.0012634936333292123,0.1,2.0989421157684633,2.078160510661845e-18,4e+36,4e+28,9.980019986673331e+19
3e-06,0.001343017,1.051855,0.0012768081151869792,0.1,2.097417746759721,2.0664214253790354e-18,9.000000000000001e+36,9e+28,9.97004495503373e+19
4e-06,0.001357408,1.0521399999999999,0.0012901400954245636,0.1,2.0958964143426293,2.0548004062182636e-18,1.6e+37,1.6e+29,9.960079893439916e+19
4.9999999999999996e-06,0.001371825,1.0524250000000002,0.0013034895598261155,0.1,2.094378109452737,2.0432957165392555e-18,2.499999999999999e+37,2.499999999999999e+29,9.950124791926823e+19
6e-06,0.0013862680000000002,1.05271,0.001316856494191183,0.1,2.09286282306163,2.031905653457893e-18,3.6000000000000004e+37,3.6e+29,9.940179640539352e+19
7e-06,0.001400737,1.052995,0.0013302408843346835,0.1,2.0913505461767627,2.0206285470306887e-18,4.9e+37,4.9e+29,9.93024442933235e+19
8e-06,0.0014152320000000002,1.05328,0.0013436427160868907,0.1,2.0898412698412696,2.009462759462759e-18,6.4e+37,6.4e+29,9.920319148370606e+19
9e-06,0.0014297530000000002,1.053565,0.0013570619752934087,0.1,2.088334985133796,1.998406684338561e-18,8.099999999999999e+37,8.099999999999998e+29,9.910403787728837e+19
9.999999999999999e-06,0.0014443000000000004,1.05385,0.0013704986478151543,0.1,2.0868316831683167,1.9874587458745873e-18,9.999999999999996e+37,9.999999999999996e+29,9.900498337491681e+19
1.1e-05,0.0014588729999999996,1.0541349999999998,0.0013839527195283335,0.1,2.0853313550939663,1.9766173981933327e-18,1.21e+38,1.2099999999999998e+30,9.890602787753687e+19
