time,strain_H1,strain_L1
1128348572.5,-1.1024749815760517e-19,-1.4116231660704602e-18
1128348572.5002441,-1.0363293562785926e-19,-1.4088005360996383e-18
1128348572.5004883,-1.2367375491594526e-19,-1.4400259554384483e-18
1128348572.5007324,-1.0255645448130395e-19,-1.493095510261856e-18
1128348572.5009766,-9.439518908219251e-20,-1.5345838357832366e-18
1128348572.5012207,-1.2461449395385465e-19,-1.5366145654875157e-18
1128348572.5014648,-1.0688793842600017e-19,-1.506625737374816e-18
1128348572.501709,-1.0078102819072369e-19,-1.4683666976469907e-18
1128348572.5019531,-1.1224608325710724e-19,-1.4396803020359958e-18
1128348572.5021973,-9.828523477358692e-20,-1.4345200159735343e-18
1128348572.5024414,-1.1613662856315096e-19,-1.462952794329887e-18
1128348572.5026855,-1.1227372679904592e-19,-1.5144443185034958e-18
1128348572.5029297,-8.780616229039129e-20,-1.5574083099142382e-18
1128348572.5031738,-1.156660319931919e-19,-1.5624077496741715e-18
1128348572.503418,-1.1481021061728884e-19,-1.5315795967414947e-18
1128348572.503662,-9.496354838199257e-20,-1.4936204360322203e-18
1128348572.5039062,-1.0824079233361844e-19,-1.4668078182903543e-18
1128348572.5041504,-1.0045098582232474e-19,-1.4594563787854894e-18
1128348572.5043945,-1.0684870509802463e-19,-1.48437379933578e-18
1128348572.5046387,-1.1370510325206547e-19,-1.535338479657833e-18
1128348572.5048828,-8.733837283390951e-20,-1.5780411876327093e-18
1128348572.505127,-1.0396971929949118e-19,-1.5839517474124125e-18
1128348572.505371,-1.1781943764729104e-19,-1.5529950184561719e-18
1128348572.5056152,-9.542597878877485e-20,-1.5132224327035684e-18
1128348572.5058594,-1.0140508245503577e-19,-1.4854554598546662e-18
1128348572.5061035,-1.0262562906391932e-19,-1.477147270126721e-18
1128348572.5063477,-1.0130366433174555e-19,-1.501205693756507e-18
1128348572.5065918,-1.1227137961320143e-19,-1.5487442517369352e-18
1128348572.506836,-9.064407623908207e-20,-1.592117618684505e-18
1128348572.50708,-9.180867250153425e-20,-1.600679352557766e-18
1128348572.5073242,-1.164382628790952e-19,-1.5690576779300038e-18
1128348572.5075684,-9.700264403510825e-20,-1.5297589481351695e-18
1128348572.5078125,-9.226119505742101e-20,-1.5016932579364082e-18
1128348572.5080566,-1.0108838495229539e-19,-1.4903901524221925e-18
1128348572.5083008,-9.448567826243472e-20,-1.511424314131251e-18
1128348572.508545,-1.0967318331323226e-19,-1.5581151816556974e-18
1128348572.508789,-9.629844126820241e-20,-1.6013066490426255e-18
1128348572.5090332,-8.311653312162966e-20,-1.6116993359157784e-18
1128348572.5092773,-1.1133718910221392e-19,-1.5803164420845864e-18
1128348572.5095215,-9.969148558249794e-20,-1.5399360426179122e-18
1128348572.5097656,-8.517441969709843e-20,-1.512602161127172e-18
1128348572.5100098,-9.638613353834955e-20,-1.5006698155282475e-18
1128348572.510254,-9.102398298819326e-20,-1.5197857385552917e-18
1128348572.510498,-1.0114622736610062e-19,-1.564140944701591e-18
1128348572.5107422,-9.624275179463253e-20,-1.6060689052942473e-18
1128348572.5109863,-7.66707396797222e-20,-1.6174722519346497e-18
1128348572.5112305,-9.814599507167164e-20,-1.588665011309969e-18
1128348572.5114746,-1.0237838878724933e-19,-1.5452735775278539e-18
1128348572.5117188,-8.268608094182388e-20,-1.5158895375769217e-18
1128348572.511963,-8.809672976072255e-20,-1.5057990757570431e-18
1128348572.512207,-8.836335668237235e-20,-1.5197733269923386e-18
1128348572.5124512,-9.074245299058845e-20,-1.5626554924733376e-18
