time,strain_H1,strain_L1
1128666660.1999512,3.0078310141586764e-19,-9.519146515866258e-20
1128666660.2001953,3.0533505426698195e-19,-9.993561192946839e-20
1128666660.2004395,3.0175248611261147e-19,-1.1632757519783513e-19
1128666660.2006836,3.0908853623662303e-19,-1.2677605950176593e-19
1128666660.2009277,3.0583588584002014e-19,-1.2443587373325913e-19
1128666660.2011719,2.9180122709832014e-19,-1.1661486633323766e-19
1128666660.201416,3.0688282029993995e-19,-1.2043143771830646e-19
1128666660.2016602,3.097634651150215e-19,-1.2030915917922664e-19
1128666660.2019043,2.9643844478957043e-19,-1.091203174061903e-19
1128666660.2021484,3.0189820361816897e-19,-1.1046702128838712e-19
1128666660.2023926,3.002868456187716e-19,-1.256208447384275e-19
1128666660.2026367,3.0241162041219787e-19,-1.3559721840563184e-19
1128666660.2028809,3.0594395553851266e-19,-1.3397870990735488e-19
1128666660.203125,2.9027954156552993e-19,-1.2830127313365072e-19
1128666660.2033691,2.9635651355696e-19,-1.3139907422399924e-19
1128666660.2036133,3.055737140154274e-19,-1.3453905965269064e-19
1128666660.2038574,2.9203787088528064e-19,-1.2634701638271165e-19
1128666660.2041016,2.9269438500955037e-19,-1.285940349146263e-19
1128666660.2043457,2.9644996495508633e-19,-1.4237421033509838e-19
1128666660.2045898,2.9571881084978287e-19,-1.500215303037041e-19
1128666660.204834,2.981977231202725e-19,-1.495074829655435e-19
1128666660.2050781,2.8673995496448805e-19,-1.4287525155198407e-19
1128666660.2053223,2.8668346143995587e-19,-1.4652422458170817e-19
1128666660.2055664,2.990297607098417e-19,-1.5371492952166544e-19
1128666660.2058105,2.880041782131981e-19,-1.462364970780232e-19
1128666660.2060547,2.819006723326014e-19,-1.477357295692831e-19
1128666660.2062988,2.8729876378967086e-19,-1.6304551573788214e-19
1128666660.206543,2.831494110429513e-19,-1.7018631884705826e-19
1128666660.206787,2.868703529681862e-19,-1.6829276080211755e-19
1128666660.2070312,2.799068689353404e-19,-1.6368979719652827e-19
1128666660.2072754,2.7213262894054616e-19,-1.6892398691552608e-19
1128666660.2075195,2.8794984605118055e-19,-1.7755795229913663e-19
1128666660.2077637,2.804808274514066e-19,-1.7174931563459687e-19
1128666660.2080078,2.686625579650412e-19,-1.7341381100972853e-19
1128666660.208252,2.764500408702893e-19,-1.8771441953996436e-19
1128666660.208496,2.7237872235409173e-19,-1.9202934071654988e-19
1128666660.2087402,2.7433923143343084e-19,-1.8996235864771154e-19
1128666660.2089844,2.6992143795267566e-19,-1.871988564966335e-19
1128666660.2092285,2.586493605673999e-19,-1.9135559497170527e-19
1128666660.2094727,2.69884765336623e-19,-2.028476792040961e-19
1128666660.2097168,2.6811160721417356e-19,-2.0252127085142055e-19
1128666660.209961,2.5549027822961466e-19,-2.044121909524228e-19
1128666660.210205,2.5884376308027166e-19,-2.188397901243487e-19
1128666660.2104492,2.5848589836397536e-19,-2.2182378774809017e-19
1128666660.2106934,2.5732810483012286e-19,-2.1643191508807558e-19
1128666660.2109375,2.569752634228595e-19,-2.1520158567816383e-19
1128666660.2111816,2.435583654007612e-19,-2.212310982237737e-19
1128666660.2114258,2.4740652593953997e-19,-2.3395270867008527e-19
1128666660.21167,2.555731682461973e-19,-2.358913816842854e-19
1128666660.211914,2.3824989127611425e-19,-2.3713335226515096e-19
1128666660.2121582,2.392744884921423e-19,-2.5148719829588747e-19
1128666660.2124023,2.4300983462525615e-19,-2.5576645528235286e-19
1128666660.2126465,2.3469155611912265e-19,-2.4945598888486738e-19
1128666660.2128906,2.3890573129149877e-19,-2.487119881670955e-19
1128666660.2131348,2.276930864092707e-19,-2.5693978742947078e-19
1128666660.213379,2.2455806795890365e-19,-2.696366079356466e-19
1128666660.213623,2.362156449398128e-19,-2.7559985567648925e-19
1128666660.2138672,2.2291708474104863e-19,-2.781567740629972e-19
1128666660.2141113,2.171697939784838e-19,-2.871442205791837e-19
1128666660.2143555,2.23189732002328e-19,-2.9205791437852264e-19
1128666660.2145996,2.162817153262926e-19,-2.8296377752017345e-19
1128666660.2148438,2.148764517138879e-19,-2.826541653971646e-19
1128666660.215088,2.0912213402758483e-19,-2.9629537988740075e-19
1128666660.215332,2.0194898353064773e-19,-3.087177245567501e-19
1128666660.2155762,2.118605661204713e-19,-3.182217974423692e-19
1128666660.2158203,2.0463853915837287e-19,-3.210690738882673e-19
1128666660.2160645,1.9143555036946757e-19,-3.3011594314122975e-19
1128666660.2163086,1.9827611140661482e-19,-3.352327868279798e-19
1128666660.2165527,1.949978024492194e-19,-3.2443844034408916e-19
1128666660.2167969,1.918379299773677e-19,-3.2598188075435086e-19
1128666660.217041,1.901753570589312e-19,-3.3867670172028863e-19
1128666660.2172852,1.7836858453595666e-19,-3.5339879668315712e-19
1128666660.2175293,1.8526474526376626e-19,-3.6453629356124454e-19
1128666660.2177734,1.851648301226075e-19,-3.679008155785815e-19
1128666660.2180176,1.6790328833621353e-19,-3.782769485543978e-19
1128666660.2182617,1.721552363364874e-19,-3.8039956641500977e-19
1128666660.2185059,1.7338451514606408e-19,-3.697166367935867e-19
1128666660.21875,1.645024994289378e-19,-3.70606432325342e-19
1128666660.2189941,1.6421827802439104e-19,-3.8594716336448733e-19
1128666660.2192383,1.5505426611654803e-19,-4.0506046374754132e-19
1128666660.2194824,1.5604223110436506e-19,-4.159152489540093e-19
1128666660.2197266,1.6088372921549764e-19,-4.2173803900674872e-19
1128666660.2199707,1.4536938458706831e-19,-4.2881380346329536e-19
1128666660.2202148,1.4627216832846578e-19,-4.291796926579122e-19
1128666660.220459,1.4880149272195137e-19,-4.1840652683023235e-19
1128666660.2207031,1.3759716747036716e-19,-4.16488668224989e-19
1128666660.2209473,1.3916509826450796e-19,-4.359139299068677e-19
1128666660.2211914,1.3205214410224267e-19,-4.56988104403552e-19
1128666660.2214355,1.2702967529477316e-19,-4.701170337665152e-19
1128666660.2216797,1.3426665501830587e-19,-4.774001242205578e-19
1128666660.2219238,1.219338147727758e-19,-4.828661036606887e-19
1128666660.222168,1.1498358941457972e-19,-4.838798184691042e-19
1128666660.222412,1.2097839072908835e-19,-4.727279423093708e-19
1128666660.2226562,1.1436110706540871e-19,-4.698161429063204e-19
1128666660.2229004,1.0983636944453785e-19,-4.905174938858204e-19
1128666660.2231445,1.0540903128235633e-19,-5.132296627490835e-19
1128666660.2233887,9.94764523779277e-20,-5.26865869706531e-19
1128666660.2236328,1.0378649985592424e-19,-5.371291015894929e-19
1128666660.223877,9.665994715804562e-20,-5.405156189628201e-19
1128666660.224121,8.559611750885593e-20,-5.378904296415885e-19
1128666660.2243652,9.03744111537894e-20,-5.288438929676109e-19
1128666660.2246094,8.698935089471958e-20,-5.253817989294396e-19
1128666660.2248535,7.976442048657193e-20,-5.465012381974464e-19
1128666660.2250977,7.813366051870998e-20,-5.728530743316251e-19
1128666660.2253418,6.932367176652678e-20,-5.886802146965851e-19
1128666660.225586,7.245854233865509e-20,-5.985893419929438e-19
1128666660.22583,7.175464032188491e-20,-6.013178168114563e-19
1128666660.2260742,5.4111017767437836e-20,-5.976674749530345e-19
1128666660.2263184,5.809369590220743e-20,-5.8492762730242475e-19
1128666660.2265625,5.993430783219147e-20,-5.815986462286862e-19
1128666660.2268066,4.815265024379477e-20,-6.037481267899729e-19
1128666660.2270508,4.732863161784999e-20,-6.31823640886562e-19
1128666660.227295,3.8931201241393146e-20,-6.512267663876411e-19
1128666660.227539,3.904385678330843e-20,-6.613380459353695e-19
1128666660.2277832,4.052653529959834e-20,-6.640179465365243e-19
1128666660.2280273,2.302970474948837e-20,-6.586221961716728e-19
1128666660.2282715,2.5047092501736363e-20,-6.463486174183075e-19
1128666660.2285156,2.8429221690785124e-20,-6.416861643631418e-19
1128666660.2287598,1.517902212986316e-20,-6.64008668626214e-19
1128666660.229004,1.477245975953968e-20,-6.958748093615763e-19
1128666660.229248,1.0770388037374667e-20,-7.136596241285435e-19
1128666660.2294922,4.4381330210987325e-21,-7.262011486186537e-19
1128666660.2297363,7.811160999652035e-21,-7.277532616780732e-19
1128666660.2299805,-5.261165798476705e-21,-7.188365050663756e-19
1128666660.2302246,-1.2126970706658459e-20,-7.072124045149168e-19
1128666660.2304688,-4.244458488337541e-21,-7.015364373251954e-19
1128666660.230713,-1.590267285390705e-20,-7.252043862851283e-19
1128666660.230957,-2.1559991126169798e-20,-7.605851235794329e-19
1128666660.2312012,-2.1755140245841868e-20,-7.812711701883292e-19
1128666660.2314453,-3.116175327766802e-20,-7.915505533606721e-19
1128666660.2316895,-2.717189204577455e-20,-7.935845389702343e-19
1128666660.2319336,-3.499630865407032e-20,-7.842734478773614e-19
1128666660.2321777,-4.657892094449891e-20,-7.673768305305107e-19
1128666660.2324219,-3.8791855230809617e-20,-7.642028632730602e-19
1128666660.232666,-4.680287718128927e-20,-7.870287598864553e-19
1128666660.2329102,-5.691620522867853e-20,-8.21767002541987e-19
