time,strain_H1,strain_L1
1263002914.1999512,1.5921538189707505e-20,1.5021736186036182e-19
1263002914.2001953,1.372039195237111e-20,1.519897990884689e-19
1263002914.2004395,1.2854835284842221e-20,1.5808507054120975e-19
1263002914.2006836,1.4014344035434676e-20,1.6240210369498684e-19
1263002914.2009277,1.0488549431902637e-20,1.645846438212112e-19
1263002914.2011719,9.8012373579577e-21,1.6794198558852196e-19
1263002914.201416,1.0620523921786121e-20,1.724616832520495e-19
1263002914.2016602,7.76935380501896e-21,1.776575531904788e-19
1263002914.2019043,7.194837590781155e-21,1.7859859952563647e-19
1263002914.2021484,6.7435185110241846e-21,1.7997601382239345e-19
1263002914.2023926,5.323048791398602e-21,1.8529394433705459e-19
1263002914.2026367,5.681376200305844e-21,1.900941518721606e-19
1263002914.2028809,3.553912732045919e-21,1.9279058063638575e-19
1263002914.203125,1.1937078501900022e-21,1.945918348103445e-19
1263002914.2033691,2.401412622366674e-21,2.0047439826478826e-19
1263002914.2036133,7.876603955042009e-22,2.0462329445233319e-19
1263002914.2038574,-7.486608500257415e-22,2.0454151445960022e-19
1263002914.2041016,-5.4016867470288405e-22,2.0698078144421456e-19
1263002914.2043457,-3.18981259560434e-21,2.114360474914673e-19
1263002914.2045898,-3.0539883500317514e-21,2.1622746339286635e-19
1263002914.204834,-3.88783669542891e-21,2.1856833785701556e-19
1263002914.2050781,-7.246076296811974e-21,2.202228688200167e-19
1263002914.2053223,-6.108312436113701e-21,2.254631511823416e-19
1263002914.2055664,-6.1688818518976436e-21,2.29307971332508e-19
1263002914.2058105,-8.609247154683319e-21,2.299293446514276e-19
1263002914.2060547,-9.60858421423023e-21,2.321998064137939e-19
1263002914.2062988,-1.120719646174346e-20,2.3644696555116223e-19
1263002914.206543,-1.0961740732639128e-20,2.401300274338401e-19
1263002914.206787,-1.110324975999905e-20,2.417775241706737e-19
1263002914.2070312,-1.486056101841001e-20,2.4405229936953724e-19
1263002914.2072754,-1.475347689033994e-20,2.4903011729753936e-19
1263002914.2075195,-1.4558270759168907e-20,2.5236105112560527e-19
1263002914.2077637,-1.6935820668245316e-20,2.531311754339638e-19
1263002914.2080078,-1.6736260097141294e-20,2.5452121506065144e-19
1263002914.208252,-1.8688554017229044e-20,2.5815617217195663e-19
1263002914.208496,-1.968383066594176e-20,2.627898501337207e-19
1263002914.2087402,-1.905178430407216e-20,2.645431553677536e-19
1263002914.2089844,-2.167660773491569e-20,2.6516391270202988e-19
1263002914.2092285,-2.3036729943527737e-20,2.6988141236257277e-19
1263002914.2094727,-2.275327343208738e-20,2.743827370857791e-19
1263002914.2097168,-2.3828525300021816e-20,2.7377216939758745e-19
1263002914.209961,-2.461383438836275e-20,2.7464420902141497e-19
1263002914.210205,-2.6162039996825616e-20,2.7981439624452873e-19
1263002914.2104492,-2.8570797442925694e-20,2.832140013939314e-19
1263002914.2106934,-2.7579726148550276e-20,2.8313765970292923e-19
1263002914.2109375,-2.9167860733719545e-20,2.8472899576409284e-19
1263002914.2111816,-3.2062199693884376e-20,2.8978069158008565e-19
1263002914.2114258,-2.989798726050767e-20,2.932204825119068e-19
1263002914.21167,-3.1285607099934995e-20,2.9260595882578484e-19
1263002914.211914,-3.3307382416372405e-20,2.9325871044343824e-19
1263002914.2121582,-3.330817176407266e-20,2.9742652346572965e-19
1263002914.2124023,-3.5718830982847064e-20,3.001048732341753e-19
1263002914.2126465,-3.495675502810967e-20,3.0107095539182694e-19
1263002914.2128906,-3.599293904226001e-20,3.035215278755346e-19
1263002914.2131348,-3.988206470166257e-20,3.0663379203968663e-19
1263002914.213379,-3.8400341307828115e-20,3.0848498401685443e-19
1263002914.213623,-3.792463634185404e-20,3.086732179093609e-19
1263002914.2138672,-4.090556836453279e-20,3.091345815442001e-19
1263002914.2141113,-4.139288843503348e-20,3.1248184328905816e-19
1263002914.2143555,-4.248844591000575e-20,3.1601174178872757e-19
1263002914.2145996,-4.2977704939349783e-20,3.1593551336280496e-19
1263002914.2148438,-4.27919994881253e-20,3.1654059391410804e-19
1263002914.215088,-4.6304779182700674e-20,3.207007815203329e-19
1263002914.215332,-4.57841882275543e-20,3.2325175210788974e-19
1263002914.2155762,-4.4288065823624007e-20,3.2170443892034795e-19
1263002914.2158203,-4.730959485059525e-20,3.2173119622628494e-19
1263002914.2160645,-4.806667795886488e-20,3.260836567941064e-19
1263002914.2163086,-4.875024762886642e-20,3.2802715619068063e-19
1263002914.2165527,-4.9712018351869497e-20,3.2774108570282443e-19
1263002914.2167969,-4.9606667774835196e-20,3.292262381320874e-19
1263002914.217041,-5.2030999761739194e-20,3.3197408303053405e-19
1263002914.2172852,-5.298714438128949e-20,3.3456556085466875e-19
1263002914.2175293,-5.146385760973711e-20,3.333746400560334e-19
1263002914.2177734,-5.3076049966419094e-20,3.3181515865099764e-19
1263002914.2180176,-5.44951250682342e-20,3.357466656366624e-19
1263002914.2182617,-5.469368956500246e-20,3.3861289313969343e-19
1263002914.2185059,-5.633589649766102e-20,3.368533352354264e-19
1263002914.21875,-5.609642629471116e-20,3.3794972391153847e-19
1263002914.2189941,-5.782949952497919e-20,3.4122868216969823e-19
1263002914.2192383,-5.90008129502319e-20,3.4275684881154746e-19
1263002914.2194824,-5.647445004790138e-20,3.413011473956933e-19
1263002914.2197266,-5.892904804596995e-20,3.4028715506490043e-19
1263002914.2199707,-6.070015016623001e-20,3.4391207816660337e-19
1263002914.2202148,-6.024980235268378e-20,3.4510419294087167e-19
1263002914.220459,-6.193919682588723e-20,3.437531881496677e-19
1263002914.2207031,-6.088315709196821e-20,3.4457366063430776e-19
1263002914.2209473,-6.297568147008718e-20,3.470774701163562e-19
1263002914.2211914,-6.45396237647188e-20,3.4924755535768213e-19
1263002914.2214355,-6.174428431688466e-20,3.4647657230561267e-19
1263002914.2216797,-6.338554588922654e-20,3.4524455858853124e-19
1263002914.2219238,-6.47263349410367e-20,3.4825007845630525e-19
1263002914.222168,-6.544564257420717e-20,3.497504829022349e-19
1263002914.222412,-6.657563656811785e-20,3.482947936959906e-19
1263002914.2226562,-6.529425434779345e-20,3.4788182823448496e-19
1263002914.2229004,-6.712921166545779e-20,3.511721677080516e-19
1263002914.2231445,-6.88752723080999e-20,3.5120337358738566e-19
1263002914.2233887,-6.650860323346085e-20,3.4935483422600134e-19
1263002914.2236328,-6.643487387358236e-20,3.483971972213135e-19
1263002914.223877,-6.912867547975435e-20,3.4961401559647657e-19
1263002914.224121,-6.988094930653854e-20,3.5196668170254823e-19
1263002914.2243652,-7.031345727537317e-20,3.489107386964841e-19
1263002914.2246094,-7.06432276091202e-20,3.485224427441306e-19
1263002914.2248535,-7.040073128574057e-20,3.517353776233355e-19
1263002914.2250977,-7.165321515566673e-20,3.5162465616050013e-19
1263002914.2253418,-7.100828881525808e-20,3.498019993771046e-19
1263002914.225586,-7.00066342038443e-20,3.476304662605837e-19
1263002914.22583,-7.154397926115703e-20,3.4928907186622515e-19
1263002914.2260742,-7.274378546829284e-20,3.507085067028467e-19
1263002914.2263184,-7.300789889730675e-20,3.4823133094296985e-19
1263002914.2265625,-7.252811862601052e-20,3.474142656512038e-19
1263002914.2268066,-7.370719800552989e-20,3.4899499620163866e-19
1263002914.2270508,-7.480268527024984e-20,3.4934955806162787e-19
1263002914.227295,-7.322041175772446e-20,3.4643571320063214e-19
1263002914.227539,-7.297747000047704e-20,3.445411393113673e-19
1263002914.2277832,-7.42453207598353e-20,3.4595219844447455e-19
1263002914.2280273,-7.495339030121335e-20,3.4668072207235234e-19
1263002914.2282715,-7.549327018263717e-20,3.440325284016311e-19
1263002914.2285156,-7.562012050352525e-20,3.4232643327546963e-19
1263002914.2287598,-7.487409302207782e-20,3.447938446297975e-19
1263002914.229004,-7.52015336250131e-20,3.450536056103497e-19
1263002914.229248,-7.571810644402482e-20,3.4165657190623366e-19
1263002914.2294922,-7.452518004116518e-20,3.3859133823504073e-19
1263002914.2297363,-7.449768857065477e-20,3.391575088985246e-19
1263002914.2299805,-7.608133138276735e-20,3.3995749023360845e-19
1263002914.2302246,-7.664668876235033e-20,3.364880770268766e-19
1263002914.2304688,-7.591958472398251e-20,3.3536408728024994e-19
1263002914.230713,-7.654435451519663e-20,3.3684992500142036e-19
1263002914.230957,-7.626039006685733e-20,3.3593268519294687e-19
1263002914.2312012,-7.524437716298474e-20,3.3266398992332284e-19
1263002914.2314453,-7.657693367781816e-20,3.296937615942122e-19
1263002914.2316895,-7.520895538670957e-20,3.308336496292074e-19
1263002914.2319336,-7.52777751182263e-20,3.3128255662040653e-19
1263002914.2321777,-7.794640595500809e-20,3.2731974048408754e-19
1263002914.2324219,-7.597733679594185e-20,3.2599274610710255e-19
1263002914.232666,-7.552275841965969e-20,3.271178927527202e-19
1263002914.2329102,-7.65811334871816e-20,3.2547450055340966e-19
1263002914.2331543,-7.516501995182938e-20,3.222146106801248e-19
1263002914.2333984,-7.452610750416313e-20,3.1943923107283114e-19
1263002914.2336426,-7.469666620404906e-20,3.189709981856902e-19
1263002914.2338867,-7.466062653274968e-20,3.191814198578002e-19
1263002914.2341309,-7.582695383763256e-20,3.1557091967964878e-19
1263002914.234375,-7.626243603174611e-20,3.1302754276328705e-19
1263002914.2346191,-7.425892304778123e-20,3.1480219397923085e-19
1263002914.2348633,-7.413900284419898e-20,3.137575088021137e-19
1263002914.2351074,-7.468295819352468e-20,3.091381670253888e-19
1263002914.2353516,-7.342383273078488e-20,3.0601023125448335e-19
1263002914.2355957,-7.275778217941613e-20,3.058236257426401e-19
1263002914.2358398,-7.294295160495518e-20,3.05338204432203e-19
1263002914.236084,-7.325918052029845e-20,3.016607420951152e-19
1263002914.2363281,-7.398577924766617e-20,2.9925425505281305e-19
1263002914.2365723,-7.249153634142239e-20,2.995553248067875e-19
1263002914.2368164,-7.154047763691826e-20,2.985298060030463e-19
1263002914.2370605,-7.247945871356522e-20,2.9466486667411637e-19
1263002914.2373047,-7.030322865557558e-20,2.9028840515914364e-19
1263002914.2375488,-7.015549167382536e-20,2.897004665841855e-19
1263002914.237793,-7.058950901390872e-20,2.898943841851604e-19
1263002914.238037,-7.00683589241583e-20,2.858686780401304e-19
1263002914.2382812,-7.185564763284504e-20,2.8253649335378643e-19
1263002914.2385254,-6.858093532855976e-20,2.832109844348815e-19
1263002914.2387695,-6.782474230633441e-20,2.81529550196253e-19
1263002914.2390137,-7.05346551471637e-20,2.763546593927226e-19
1263002914.2392578,-6.697887573282568e-20,2.731551221438291e-19
1263002914.239502,-6.575974062015875e-20,2.7272975964104826e-19
1263002914.239746,-6.740632561790861e-20,2.7124532224380876e-19
1263002914.2399902,-6.584802597124968e-20,2.6637811329838075e-19
1263002914.2402344,-6.691220481108979e-20,2.6382301027829376e-19
1263002914.2404785,-6.679358798634415e-20,2.643653125864483e-19
