time,strain_H1,strain_L1
1242442965.3999023,9.314603936579196e-20,-2.221834934651002e-19
1242442965.4001465,1.0298275415205823e-19,-2.2288999016503055e-19
1242442965.4003906,1.0300160818524566e-19,-2.248688876890934e-19
1242442965.4006348,9.411152816542572e-20,-2.26587289798213e-19
1242442965.400879,9.64866411377199e-20,-2.2734117825192414e-19
1242442965.401123,9.460866001449107e-20,-2.2817399249889484e-19
1242442965.4013672,9.256425165450259e-20,-2.29563184976005e-19
1242442965.4016113,9.508783755474076e-20,-2.297438617880421e-19
1242442965.4018555,9.071813701058695e-20,-2.3015964038885804e-19
1242442965.4020996,9.615954597430959e-20,-2.3144446101425695e-19
1242442965.4023438,1.0239631073486549e-19,-2.325402760880768e-19
1242442965.402588,9.200724010623354e-20,-2.336713814691792e-19
1242442965.402832,9.028452590523674e-20,-2.3448918187184025e-19
1242442965.4030762,9.277977218066545e-20,-2.352956664010305e-19
1242442965.4033203,8.721812725329868e-20,-2.3577907746884593e-19
1242442965.4035645,9.009399362261372e-20,-2.3590014065105676e-19
1242442965.4038086,8.843054243894989e-20,-2.360165171176579e-19
1242442965.4040527,8.816206918966052e-20,-2.3671036395910696e-19
1242442965.4042969,9.839497403295156e-20,-2.376682909565874e-19
1242442965.404541,8.952873853779267e-20,-2.3833001916097774e-19
1242442965.4047852,8.310424163557189e-20,-2.3887519867728414e-19
1242442965.4050293,8.905949932272733e-20,-2.394457849880038e-19
1242442965.4052734,8.279039193805596e-20,-2.3945214254940133e-19
1242442965.4055176,8.380243143752556e-20,-2.385825406827709e-19
1242442965.4057617,8.575446391007642e-20,-2.3900350558786807e-19
1242442965.4060059,8.166710307648962e-20,-2.393444018129743e-19
1242442965.40625,9.082307378989125e-20,-2.391687870898663e-19
1242442965.4064941,8.81781265312212e-20,-2.402909027565833e-19
1242442965.4067383,7.572810897233247e-20,-2.40688482439028e-19
1242442965.4069824,8.074686416023781e-20,-2.405207650864625e-19
1242442965.4072266,7.975638104465143e-20,-2.4035617350937187e-19
1242442965.4074707,7.568234732162697e-20,-2.400425980077054e-19
1242442965.4077148,8.139640417318793e-20,-2.3965697574730656e-19
1242442965.407959,7.657225581405146e-20,-2.380351198412425e-19
1242442965.4082031,7.93457721334684e-20,-2.391499221528544e-19
1242442965.4084473,8.474617202161804e-20,-2.400546835405782e-19
1242442965.4086914,7.077511276252666e-20,-2.3823935660224066e-19
1242442965.4089355,7.083988837706514e-20,-2.3931523230914142e-19
1242442965.4091797,7.574439941669923e-20,-2.390255000754741e-19
1242442965.4094238,6.870551044209539e-20,-2.372609303204575e-19
1242442965.409668,7.262294015667834e-20,-2.3683027873447493e-19
1242442965.409912,7.148049808627712e-20,-2.360286494265469e-19
1242442965.4101562,6.929592138215173e-20,-2.361513420917054e-19
1242442965.4104004,7.670515260006812e-20,-2.3591797115557704e-19
1242442965.4106445,6.660760930589e-20,-2.355732401343616e-19
1242442965.4108887,6.051534681752552e-20,-2.34804198012232e-19
1242442965.4111328,6.817992979877998e-20,-2.338655200155287e-19
1242442965.411377,6.123137288237093e-20,-2.3281999669245364e-19
1242442965.411621,6.096191338311944e-20,-2.3162513817392757e-19
1242442965.4118652,6.597662831750454e-20,-2.314760450942929e-19
1242442965.4121094,6.04365717472336e-20,-2.3011947357421277e-19
1242442965.4123535,6.564221253523361e-20,-2.299383786544822e-19
1242442965.4125977,6.202274213850389e-20,-2.2954379458546833e-19
1242442965.4128418,5.077622091979472e-20,-2.277703717027122e-19
1242442965.413086,5.729403084731363e-20,-2.270131473525984e-19
1242442965.41333,5.512766242730285e-20,-2.252185171112345e-19
1242442965.4135742,5.115378158070669e-20,-2.2417485559132516e-19
1242442965.4138184,5.583599709987904e-20,-2.232453576845071e-19
1242442965.4140625,5.130251944160446e-20,-2.2174124860987617e-19
1242442965.4143066,5.320246048123661e-20,-2.214884997306596e-19
1242442965.4145508,5.48640055391027e-20,-2.204110602826341e-19
