time,strain_H1,strain_L1
1246048402.5998535,-2.866233623075144e-20,-2.336161078496593e-20
1246048402.6000977,-1.0488998046883193e-20,-1.755807280483711e-20
1246048402.6003418,-7.340585208329515e-21,-1.3047777534921571e-20
1246048402.600586,-2.2672127711714735e-20,-8.92060262654831e-21
1246048402.60083,-2.7774323798421874e-20,-4.8479369136558175e-21
1246048402.6010742,-1.4018668807607312e-20,7.021677439262624e-22
1246048402.6013184,-6.944031377288157e-21,3.7675039231682315e-21
1246048402.6015625,-2.3274014930751488e-20,5.996658541135949e-21
1246048402.6018066,-3.513679961378046e-20,1.0369646589660473e-20
1246048402.6020508,-1.9394144240611105e-20,1.4988330740396596e-20
1246048402.602295,-9.95483409936507e-21,2.0149880980572347e-20
1246048402.602539,-2.5404194725787728e-20,2.4287490346018822e-20
1246048402.6027832,-3.285051222749624e-20,2.8832756613807286e-20
1246048402.6030273,-2.1818068245081134e-20,3.3629120683399414e-20
1246048402.6032715,-1.164524291280894e-20,3.6783397097822924e-20
1246048402.6035156,-2.2815400666012492e-20,3.8929883782817785e-20
1246048402.6037598,-4.039624699228705e-20,4.2455121801878214e-20
1246048402.604004,-2.9123898126632795e-20,4.891186215033989e-20
1246048402.604248,-1.4327623341028186e-20,5.319224011624775e-20
1246048402.6044922,-2.57612946945321e-20,5.609188246888302e-20
1246048402.6047363,-3.787891752308028e-20,6.155125048087063e-20
1246048402.6049805,-3.075872306917442e-20,6.682838686798328e-20
1246048402.6052246,-1.690613720696287e-20,6.954361709350432e-20
1246048402.6054688,-2.371657479615558e-20,7.1349880316752e-20
1246048402.605713,-4.360327909006705e-20,7.531120699860763e-20
1246048402.605957,-3.813372018177669e-20,8.069826269832119e-20
1246048402.6062012,-2.0094683191485768e-20,8.492037625023205e-20
1246048402.6064453,-2.678492612296868e-20,8.860716517795206e-20
1246048402.6066895,-4.2288367296453973e-20,9.29487284191318e-20
1246048402.6069336,-3.69502289783331e-20,9.830951985682148e-20
1246048402.6071777,-2.3297182898574506e-20,1.0130720374249435e-19
1246048402.6074219,-2.6129225848352464e-20,1.0226167766280593e-19
1246048402.607666,-4.379198195508413e-20,1.0634858758184845e-19
1246048402.6079102,-4.6109170262986997e-20,1.1197026266545137e-19
1246048402.6081543,-2.7086247783577142e-20,1.161693242752676e-19
1246048402.6083984,-2.693468314146085e-20,1.1909008124679005e-19
1246048402.6086426,-4.444477122819774e-20,1.2334777278363108e-19
1246048402.6088867,-4.32579970844745e-20,1.2869916563225845e-19
1246048402.6091309,-2.949861099181537e-20,1.3108141155914244e-19
1246048402.609375,-2.8019882398044165e-20,1.3268519836831364e-19
1246048402.6096191,-4.4605394498136406e-20,1.3618767836188209e-19
1246048402.6098633,-5.234996219022431e-20,1.407343569073241e-19
1246048402.6101074,-3.380516392717678e-20,1.453195183803992e-19
1246048402.6103516,-2.8004628595192116e-20,1.481878358330471e-19
1246048402.6105957,-4.552951772006827e-20,1.5170028972600807e-19
1246048402.6108398,-4.9701894176688683e-20,1.5726320736828072e-19
1246048402.611084,-3.667623655709866e-20,1.5970779945867203e-19
1246048402.6113281,-2.9306376142689285e-20,1.6024355834293704e-19
1246048402.6115723,-4.4149828913046685e-20,1.633182326374436e-19
1246048402.6118164,-5.703014155826142e-20,1.6812004233273723e-19
1246048402.6120605,-4.1367675545233516e-20,1.7255532972170055e-19
1246048402.6123047,-3.09542918098076e-20,1.7493906070925756e-19
1246048402.6125488,-4.533550459588866e-20,1.7866261979396068e-19
1246048402.612793,-5.372052927635307e-20,1.8325739819932554e-19
