time,strain_H1,strain_L1
968654555.8999023,-5.1646968455537584e-17,-1.2982486635593071e-17
968654555.9001465,-5.078243546919733e-17,-1.2112530765721697e-17
968654555.9003906,-4.98859333369903e-17,-1.1237959897755802e-17
968654555.9006348,-4.8952429497481754e-17,-1.0348996948027123e-17
968654555.9008789,-4.7986179888234053e-17,-9.45882437353763e-18
968654555.901123,-4.697479043266314e-17,-8.58445233303469e-18
968654555.9013672,-4.596611728691775e-17,-7.68647934898074e-18
968654555.9016113,-4.491030993530556e-17,-6.783012690528187e-18
968654555.9018555,-4.383225400448519e-17,-5.8740948633695804e-18
968654555.9020996,-4.2721833488555667e-17,-4.941828839050013e-18
968654555.9023438,-4.157941928243029e-17,-4.0197639868323544e-18
968654555.9025879,-4.0411093270836574e-17,-3.0932798344001102e-18
968654555.902832,-3.922812101518e-17,-2.168664666476075e-18
968654555.9030762,-3.8013088197610886e-17,-1.2278618950902461e-18
968654555.9033203,-3.6760858908033514e-17,-2.9808730223503477e-19
968654555.9035645,-3.5489461088905725e-17,6.4133574376036435e-19
968654555.9038086,-3.4188692124866504e-17,1.5537191933386937e-18
968654555.9040527,-3.287060446943195e-17,2.4778637595282165e-18
968654555.9042969,-3.15310148634122e-17,3.386583411629336e-18
968654555.904541,-3.0174589647230104e-17,4.299115505270358e-18
968654555.9047852,-2.880449899797194e-17,5.23041706106644e-18
968654555.9050293,-2.740058208582996e-17,6.152404907108167e-18
968654555.9052734,-2.598554503928195e-17,7.064898654827614e-18
968654555.9055176,-2.4549423514872166e-17,7.973385211348716e-18
968654555.9057617,-2.3103462892509574e-17,8.875175141703025e-18
968654555.9060059,-2.163779885695682e-17,9.775259427198105e-18
968654555.90625,-2.0149863788233855e-17,1.0660523191734651e-17
968654555.9064941,-1.8647062919710493e-17,1.153201364556272e-17
968654555.9067383,-1.7119240403342824e-17,1.2400075715367136e-17
968654555.9069824,-1.5590025765049752e-17,1.323657593326664e-17
